,city_fuel_economy,engine_displacement,franchise_make,fuel_tank_volume,height,highway_fuel_economy,length,mileage,model_name,owner_count,power,savings_amount,torque,trimId,wheelbase,width,year,wheel_system_cat,wheel_system_display_cat,body_type_Sedan,engine_cylinders_I4,engine_cylinders_V6,transmission_display_8_Speed_Automatic
3385,22.0,2400.0,1,13.5,64.8,30.0,173.0,15904.0,1,1.0,180,154,175,74935,103.8,80.0,2018,0,2,0,1,0,0
3387,18.0,3600.0,1,24.6,69.3,25.0,189.8,34856.0,2,1.0,295,1026,260,68764,114.8,84.8,2017,0,2,0,0,1,1
3388,21.0,2400.0,1,18.8,66.3,31.0,185.5,23974.0,1,1.0,301,565,272,67439,112.5,72.8,2017,3,3,0,1,0,0
3390,25.0,2500.0,0,14.5,66.6,32.0,184.5,50547.0,1,1.0,170,355,175,76570,106.5,72.4,2018,2,1,0,1,0,0
3392,17.0,3000.0,1,24.6,69.4,25.0,189.8,47959.0,2,1.0,360,1181,390,55144,114.8,84.8,2015,1,0,0,0,1,1
3393,20.0,2000.0,1,19.8,65.2,28.0,182.6,65151.0,2,1.0,220,501,258,51775,110.5,82.2,2014,2,1,0,1,0,1
3395,20.0,2400.0,0,18.8,69.3,29.0,187.8,43360.0,1,1.0,301,100,272,58665,112.5,72.5,2016,2,1,0,1,0,0
3396,18.0,3600.0,1,17.5,58.7,30.0,200.4,88390.0,0,1.0,300,2071,262,67463,110.5,72.9,2015,3,3,1,0,0,0
3397,21.0,2000.0,0,19.0,57.2,29.0,195.5,70256.0,1,1.0,268,516,295,67557,114.6,80.8,2017,2,1,1,1,0,1
3398,31.0,2000.0,0,12.4,55.7,40.0,182.3,34411.0,1,1.0,158,152,138,76407,106.3,70.8,2018,3,3,1,1,0,0
3399,15.0,3600.0,0,22.0,69.9,22.0,203.7,45652.0,1,1.0,288,1554,270,67378,118.9,78.5,2017,3,3,0,0,1,0
3401,27.0,1500.0,1,15.8,57.6,36.0,193.8,36894.0,1,1.0,160,1168,184,74364,111.4,73.0,2018,3,3,1,1,0,0
3402,18.0,3600.0,1,18.5,58.9,28.0,201.3,23193.0,1,1.0,305,845,264,79408,111.7,84.3,2019,3,3,1,0,0,0
3403,24.0,2400.0,0,18.5,57.7,32.0,191.1,11959.0,1,1.0,185,1266,178,87480,110.4,73.2,2020,3,3,1,1,0,0
3404,27.0,1500.0,1,11.6,55.7,35.0,151.1,24312.0,1,1.0,134,1290,162,78103,98.2,76.1,2019,3,3,0,0,0,0
3405,24.0,1600.0,0,14.2,63.0,30.0,163.0,59328.0,0,2.0,130,2677,118,55991,101.2,70.9,2015,3,3,0,1,0,0
3406,20.0,2000.0,1,19.2,68.7,27.0,188.1,23877.0,1,1.0,280,1107,250,69475,112.2,85.8,2017,2,1,0,1,0,0
3408,21.0,2400.0,1,15.9,65.7,28.0,182.0,86801.0,1,1.0,271,7,239,68748,106.3,73.2,2017,0,2,0,1,0,0
3409,26.0,2400.0,1,17.2,57.7,34.0,192.5,56665.0,1,1.0,189,816,182,68055,109.3,72.8,2017,3,3,1,1,0,0
3411,22.0,2000.0,0,19.0,53.1,31.0,188.3,25868.0,2,1.0,335,319,284,73904,110.7,74.7,2018,4,4,0,1,0,0
3412,21.0,2400.0,1,15.9,66.2,29.0,182.0,9291.0,1,1.0,271,970,239,77882,106.3,73.2,2019,0,2,0,1,0,0
3413,18.0,3500.0,1,21.0,72.7,25.0,191.4,160521.0,2,2.0,250,896,253,46997,109.2,78.5,2013,3,3,0,0,1,0
3414,26.0,2500.0,0,14.5,66.3,33.0,184.5,12444.0,1,1.0,170,156,175,76571,106.5,72.4,2018,3,3,0,1,0,0
3415,25.0,2500.0,2,18.5,66.1,33.0,189.6,94524.0,2,1.0,175,244,174,58701,108.1,81.3,2016,2,1,0,0,0,0
3417,17.0,3000.0,4,24.6,69.4,24.0,189.8,64168.0,2,1.0,360,188,390,55145,114.8,84.8,2015,0,2,0,0,1,1
3418,23.0,2000.0,1,13.6,65.1,29.0,161.3,18518.0,1,1.0,166,788,149,82922,99.2,81.0,2019,2,1,0,1,0,0
3419,22.0,2000.0,1,15.8,54.2,34.0,182.6,85550.0,1,2.0,240,1530,255,58814,110.6,79.4,2016,2,1,0,1,0,1
3421,28.0,1500.0,1,14.0,66.1,34.0,180.6,33598.0,1,1.0,190,106,179,76549,104.7,73.0,2018,3,3,0,1,0,0
3422,16.0,3500.0,1,18.6,68.0,22.0,201.8,25049.0,1,1.0,287,791,254,78253,117.9,88.8,2019,2,1,0,0,1,0
3423,26.0,1800.0,0,13.2,57.7,34.0,179.3,100501.0,0,3.0,132,385,128,45211,102.4,69.4,2013,3,3,1,1,0,0
3425,21.0,3500.0,0,19.0,67.8,28.0,192.4,24171.0,1,1.0,260,862,240,77011,111.2,75.4,2018,3,3,0,0,1,0
3428,26.0,2000.0,0,14.9,65.4,30.0,182.3,21018.0,1,1.0,252,698,260,85781,107.3,72.4,2020,3,3,0,1,0,0
3429,17.0,3700.0,0,20.0,62.7,24.0,186.8,28539.0,2,1.0,325,641,267,68096,113.4,71.0,2017,4,4,0,0,1,0
